RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470331,1,1,3,3,3,2,1,1,1,2,2,1,1,2,63,3,1,1,4,1
470332,1,3,3,2,3,2,1,1,1,3,4,1,1,2,55,2,4,2,2,2
470333,1,2,1,1,2,3,1,1,1,2,1,2,2,1,61,3,2,1,3,1
470334,1,1,4,1,1,2,1,1,1,1,1,1,1,3,43,3,4,1,1,3
470338,1,1,4,4,2,1,1,1,1,3,2,2,1,2,57,1,1,1,4,2
470340,3,3,2,1,2,3,2,2,2,2,2,2,1,1,51,1,4,1,4,1
470341,1,3,4,4,3,1,2,1,1,2,1,1,1,2,69,1,4,1,3,1
470343,4,4,4,1,3,2,1,2,3,1,2,4,1,1,73,1,4,2,4,2
470344,2,3,3,2,2,3,3,3,3,3,3,3,1,1,56,3,4,1,1,3
470345,3,4,2,1,2,3,1,1,2,1,1,1,1,1,58,2,4,2,3,1
470348,3,3,3,1,2,1,2,2,2,2,3,3,1,1,83,2,4,2,3,2
470349,3,4,2,1,2,4,1,1,1,4,2,2,1,3,27,3,4,1,4,1
470350,3,3,2,2,2,3,2,2,2,2,2,2,1,1,83,3,3,2,3,2
470351,2,2,4,3,3,1,1,1,1,3,2,1,1,2,53,2,4,2,2,1
470352,4,4,1,1,1,1,1,1,1,1,2,4,1,1,35,1,4,1,3,2
470353,1,1,4,4,2,1,2,2,1,2,2,2,1,3,75,1,4,1,4,2
470354,3,3,1,2,2,3,1,1,1,1,1,1,2,3,53,3,4,1,1,2
470355,2,4,2,1,2,4,2,1,3,1,2,3,1,1,61,2,3,2,4,1
470356,1,3,4,2,3,2,3,2,3,4,3,1,1,2,59,2,1,1,2,1
470358,4,4,1,1,2,3,3,3,3,4,4,4,1,1,28,1,4,2,2,3
480385,1,2,4,3,2,2,2,1,1,2,2,2,1,2,45,1,3,1,4,3
470359,4,2,4,1,2,2,2,2,2,3,2,2,1,1,58,1,4,1,3,1
470361,2,4,1,1,1,2,2,2,2,2,1,1,2,1,69,3,4,1,4,1
470362,2,3,3,2,2,2,1,1,1,1,1,1,1,1,40,2,4,2,2,2
470363,1,1,4,2,3,2,2,1,2,3,1,4,1,2,62,3,4,1,3,3
470364,1,1,4,3,4,1,1,1,1,2,2,1,1,2,75,1,4,1,4,2
470365,1,1,4,4,2,1,2,1,1,2,4,2,1,3,46,1,4,1,3,2
470366,1,1,3,3,3,1,3,2,1,3,2,2,1,2,51,1,4,1,4,1
470367,4,4,3,1,1,4,1,2,3,3,4,1,1,1,78,2,4,1,1,2
470370,1,1,1,1,2,4,2,1,2,2,3,2,1,2,52,1,2,2,1,3
470371,1,1,4,4,2,2,1,1,1,2,3,2,1,2,45,3,4,2,3,2
470372,1,2,4,2,2,2,2,2,2,3,2,2,1,3,30,3,4,2,3,2
470373,2,4,2,1,2,3,1,1,2,3,2,2,1,1,65,1,4,2,2,2
470374,1,3,1,1,3,1,2,2,2,1,2,2,1,3,28,1,4,2,2,3
470375,1,1,4,4,2,2,1,2,2,3,2,3,1,2,59,1,1,2,4,1
470376,1,2,2,1,2,2,2,2,2,3,2,2,1,2,30,1,1,1,3,1
470377,1,1,4,3,2,1,2,2,2,1,2,2,1,2,80,1,4,1,3,1
470379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,2,4,2,3,3
470382,1,3,3,1,1,1,1,1,1,3,2,1,2,5,31,1,4,1,4,3
470383,1,2,4,4,3,2,2,2,2,2,3,3,1,2,64,1,3,2,1,2
470384,2,4,2,1,1,2,1,4,4,1,2,3,2,3,43,1,4,2,4,2
470385,2,4,3,2,2,2,2,2,2,2,2,2,1,1,69,3,4,1,4,1
470387,3,4,2,1,1,2,1,1,1,4,2,3,1,1,62,3,4,2,3,2
470389,4,4,1,1,3,4,1,1,2,1,2,1,1,1,66,2,4,2,2,2
470391,1,1,2,2,4,2,2,2,3,2,3,3,1,1,68,3,4,1,1,1
